SCAT2D
BEGSET
NAME  "planar"
ID 17255
DELEV 0.0
IXY   5000
    4321      40.0000     172.0000
    4320      38.0000     172.0000
    4319      36.0000     172.0000
    4318      34.0000     172.0000
    4317      32.0000     172.0000
    4316      30.0000     172.0000
    4315      28.0000     172.0000
    4314      26.0000     172.0000
    4313      24.0000     172.0000
    4312      22.0000     172.0000
    4311      20.0000     172.0000
    4310      18.0000     172.0000
    4309      16.0000     172.0000
    4308      14.0000     172.0000
    4307      12.0000     172.0000
    4306      10.0000     172.0000
    4305       8.0000     172.0000
    4304       6.0000     172.0000
    4303       4.0000     172.0000
    4302       2.0000     172.0000
    4301       0.5000     172.0000
    4300      98.0000     170.0000
    4299      96.0000     170.0000
    4298      94.0000     170.0000
    4297      92.0000     170.0000
    4296      90.0000     170.0000
    4295      88.0000     170.0000
    4294      86.0000     170.0000
    4293      84.0000     170.0000
    4292      82.0000     170.0000
    4291      80.0000     170.0000
    4290      78.0000     170.0000
    4289      76.0000     170.0000
    4288      74.0000     170.0000
    4287      72.0000     170.0000
    4286      70.0000     170.0000
    4285      68.0000     170.0000
    4284      66.0000     170.0000
    4283      64.0000     170.0000
    4282      62.0000     170.0000
    4281      60.0000     170.0000
    4280      58.0000     170.0000
    4279      56.0000     170.0000
    4278      54.0000     170.0000
    4277      52.0000     170.0000
    4276      50.0000     170.0000
    4275      48.0000     170.0000
    4274      46.0000     170.0000
    4273      44.0000     170.0000
    4272      42.0000     170.0000
    4271      40.0000     170.0000
    4270      38.0000     170.0000
    4269      36.0000     170.0000
    4268      34.0000     170.0000
    4267      32.0000     170.0000
    4266      30.0000     170.0000
    4265      28.0000     170.0000
    4264      26.0000     170.0000
    4263      24.0000     170.0000
    4262      22.0000     170.0000
    4261      20.0000     170.0000
    4260      18.0000     170.0000
    4259      16.0000     170.0000
    4258      14.0000     170.0000
    4257      12.0000     170.0000
    4256      10.0000     170.0000
    4255       8.0000     170.0000
    4254       6.0000     170.0000
    4253       4.0000     170.0000
    4252       2.0000     170.0000
    4251       0.5000     170.0000
    4250      98.0000     168.0000
    4249      96.0000     168.0000
    4248      94.0000     168.0000
    4247      92.0000     168.0000
    4246      90.0000     168.0000
    4245      88.0000     168.0000
    4244      86.0000     168.0000
    4243      84.0000     168.0000
    4242      82.0000     168.0000
    4241      80.0000     168.0000
    4240      78.0000     168.0000
    4239      76.0000     168.0000
    4238      74.0000     168.0000
    4237      72.0000     168.0000
    4236      70.0000     168.0000
    4235      68.0000     168.0000
    4234      66.0000     168.0000
    4233      64.0000     168.0000
    4232      62.0000     168.0000
    4231      60.0000     168.0000
    4230      58.0000     168.0000
    4229      56.0000     168.0000
    4228      54.0000     168.0000
    4227      52.0000     168.0000
    4226      50.0000     168.0000
    4225      48.0000     168.0000
    4224      46.0000     168.0000
    4223      44.0000     168.0000
    4222      42.0000     168.0000
    4221      40.0000     168.0000
    4220      38.0000     168.0000
    4219      36.0000     168.0000
    4218      34.0000     168.0000
    4217      32.0000     168.0000
    4216      30.0000     168.0000
    4215      28.0000     168.0000
    4214      26.0000     168.0000
    4213      24.0000     168.0000
    4212      22.0000     168.0000
    4211      20.0000     168.0000
    4210      18.0000     168.0000
    4209      16.0000     168.0000
    4208      14.0000     168.0000
    4207      12.0000     168.0000
    4206      10.0000     168.0000
    4205       8.0000     168.0000
    4204       6.0000     168.0000
    4203       4.0000     168.0000
    4202       2.0000     168.0000
    4201       0.5000     168.0000
    4200      98.0000     166.0000
    4199      96.0000     166.0000
    4198      94.0000     166.0000
    4197      92.0000     166.0000
    4196      90.0000     166.0000
    4195      88.0000     166.0000
    4194      86.0000     166.0000
    4193      84.0000     166.0000
    4192      82.0000     166.0000
    4191      80.0000     166.0000
    4190      78.0000     166.0000
    4189      76.0000     166.0000
    4188      74.0000     166.0000
    4187      72.0000     166.0000
    4186      70.0000     166.0000
    4185      68.0000     166.0000
    4184      66.0000     166.0000
    4183      64.0000     166.0000
    4182      62.0000     166.0000
    4181      60.0000     166.0000
    4180      58.0000     166.0000
    4179      56.0000     166.0000
    4178      54.0000     166.0000
    4177      52.0000     166.0000
    4176      50.0000     166.0000
    4175      48.0000     166.0000
    4174      46.0000     166.0000
    4173      44.0000     166.0000
    4172      42.0000     166.0000
    4171      40.0000     166.0000
    4170      38.0000     166.0000
    4169      36.0000     166.0000
    4168      34.0000     166.0000
    4167      32.0000     166.0000
    4166      30.0000     166.0000
    4165      28.0000     166.0000
    4164      26.0000     166.0000
    4163      24.0000     166.0000
    4162      22.0000     166.0000
    4161      20.0000     166.0000
    4160      18.0000     166.0000
    4159      16.0000     166.0000
    4158      14.0000     166.0000
    4157      12.0000     166.0000
    4156      10.0000     166.0000
    4155       8.0000     166.0000
    4154       6.0000     166.0000
    4153       4.0000     166.0000
    4152       2.0000     166.0000
    4151       0.5000     166.0000
    4150      98.0000     164.0000
    4149      96.0000     164.0000
    4148      94.0000     164.0000
    4147      92.0000     164.0000
    4146      90.0000     164.0000
    4145      88.0000     164.0000
    4144      86.0000     164.0000
    4143      84.0000     164.0000
    4142      82.0000     164.0000
    4141      80.0000     164.0000
    4140      78.0000     164.0000
    4139      76.0000     164.0000
    4138      74.0000     164.0000
    4137      72.0000     164.0000
    4136      70.0000     164.0000
    4135      68.0000     164.0000
    4134      66.0000     164.0000
    4133      64.0000     164.0000
    4132      62.0000     164.0000
    4131      60.0000     164.0000
    4130      58.0000     164.0000
    4129      56.0000     164.0000
    4128      54.0000     164.0000
    4127      52.0000     164.0000
    4126      50.0000     164.0000
    4125      48.0000     164.0000
    4124      46.0000     164.0000
    4123      44.0000     164.0000
    4122      42.0000     164.0000
    4121      40.0000     164.0000
    4120      38.0000     164.0000
    4119      36.0000     164.0000
    4118      34.0000     164.0000
    4117      32.0000     164.0000
    4116      30.0000     164.0000
    4115      28.0000     164.0000
    4114      26.0000     164.0000
    4113      24.0000     164.0000
    4112      22.0000     164.0000
    4111      20.0000     164.0000
    4110      18.0000     164.0000
    4109      16.0000     164.0000
    4108      14.0000     164.0000
    4107      12.0000     164.0000
    4106      10.0000     164.0000
    4105       8.0000     164.0000
    4104       6.0000     164.0000
    4103       4.0000     164.0000
    4102       2.0000     164.0000
    4101       0.5000     164.0000
    4100      98.0000     162.0000
    4099      96.0000     162.0000
    4098      94.0000     162.0000
    4097      92.0000     162.0000
    4096      90.0000     162.0000
    4095      88.0000     162.0000
    4094      86.0000     162.0000
    4093      84.0000     162.0000
    4092      82.0000     162.0000
    4091      80.0000     162.0000
    4090      78.0000     162.0000
    4089      76.0000     162.0000
    4088      74.0000     162.0000
    4087      72.0000     162.0000
    4086      70.0000     162.0000
    4085      68.0000     162.0000
    4084      66.0000     162.0000
    4083      64.0000     162.0000
    4082      62.0000     162.0000
    4081      60.0000     162.0000
    4080      58.0000     162.0000
    4079      56.0000     162.0000
    4078      54.0000     162.0000
    4077      52.0000     162.0000
    4076      50.0000     162.0000
    4075      48.0000     162.0000
    4074      46.0000     162.0000
    4073      44.0000     162.0000
    4072      42.0000     162.0000
    4071      40.0000     162.0000
    4070      38.0000     162.0000
    4069      36.0000     162.0000
    4068      34.0000     162.0000
    4067      32.0000     162.0000
    4066      30.0000     162.0000
    4065      28.0000     162.0000
    4064      26.0000     162.0000
    4063      24.0000     162.0000
    4062      22.0000     162.0000
    4061      20.0000     162.0000
    4060      18.0000     162.0000
    4059      16.0000     162.0000
    4058      14.0000     162.0000
    4057      12.0000     162.0000
    4056      10.0000     162.0000
    4055       8.0000     162.0000
    4054       6.0000     162.0000
    4053       4.0000     162.0000
    4052       2.0000     162.0000
    4051       0.5000     162.0000
    4050      98.0000     160.0000
    4049      96.0000     160.0000
    4048      94.0000     160.0000
    4047      92.0000     160.0000
    4046      90.0000     160.0000
    4045      88.0000     160.0000
    4044      86.0000     160.0000
    4043      84.0000     160.0000
    4042      82.0000     160.0000
    4041      80.0000     160.0000
    4040      78.0000     160.0000
    4039      76.0000     160.0000
    4038      74.0000     160.0000
    4037      72.0000     160.0000
    4036      70.0000     160.0000
    4035      68.0000     160.0000
    4034      66.0000     160.0000
    4033      64.0000     160.0000
    4032      62.0000     160.0000
    4031      60.0000     160.0000
    4030      58.0000     160.0000
    4029      56.0000     160.0000
    4028      54.0000     160.0000
    4027      52.0000     160.0000
    4026      50.0000     160.0000
    4025      48.0000     160.0000
    4024      46.0000     160.0000
    4023      44.0000     160.0000
    4022      42.0000     160.0000
    4021      40.0000     160.0000
    4020      38.0000     160.0000
